#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca3_H7VMKALXX_combined_L3_1	150	1231966	179650713	97.08	94.63	87.37




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca3_H7VMKALXX_combined_L3_1	615983	554517	90.0% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca3_H7VMKALXX_combined_L3_1	3208929	183542	0.07	13422	0.21	368650	0.58


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca3_H7VMKALXX_combined_L3_1	ABCA3-1	CG	14	76	0.16
Ca3_H7VMKALXX_combined_L3_1	ABCA3-2	CG	276	4810	0.05
Ca3_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1347	11010	0.11
Ca3_H7VMKALXX_combined_L3_1	MET-1	CG	750	6135	0.11
Ca3_H7VMKALXX_combined_L3_1	MET-2	CG	223	4238	0.05
Ca3_H7VMKALXX_combined_L3_1	STK11	CG	83135	230870	0.26
Ca3_H7VMKALXX_combined_L3_1	ARID2-2	CG	979	580	0.63
Ca3_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	2785	2020	0.58
Ca3_H7VMKALXX_combined_L3_1	FGFR3-1	CG	260	56	0.82
Ca3_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	794	8071	0.09
Ca3_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	434	2131	0.17
Ca3_H7VMKALXX_combined_L3_1	FGFR3-2	CG	323	7492	0.04
Ca3_H7VMKALXX_combined_L3_1	KEAP1-1	CG	838	912	0.48
Ca3_H7VMKALXX_combined_L3_1	KEAP1-2	CG	2958	1225	0.71
Ca3_H7VMKALXX_combined_L3_1	ARID2-1	CG	3353	144034	0.02
Ca3_H7VMKALXX_combined_L3_1	RB1	CG	16464	619484	0.03
Ca3_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	309	1663	0.16
Ca3_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	83	2428	0.03
Ca3_H7VMKALXX_combined_L3_1	RAB31-2	CG	29	433	0.06
Ca3_H7VMKALXX_combined_L3_1	RAB31-1	CG	1037	1437	0.42
Ca3_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	167	225	0.43
Ca3_H7VMKALXX_combined_L3_1	FBXW7	CG	43	345	0.11
Ca3_H7VMKALXX_combined_L3_1	ARID1A-1	CG	13918	243521	0.05
Ca3_H7VMKALXX_combined_L3_1	CBL-2	CG	1480	4807	0.24
Ca3_H7VMKALXX_combined_L3_1	CBL-1	CG	29022	318990	0.08
Ca3_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	749	2129	0.26
Ca3_H7VMKALXX_combined_L3_1	DAB2IP	CG	1260	8526	0.13
Ca3_H7VMKALXX_combined_L3_1	ERBB2-1	CG	373	7595	0.05
Ca3_H7VMKALXX_combined_L3_1	ERCC1-2	CG	188	978	0.16
Ca3_H7VMKALXX_combined_L3_1	ERBB2-2	CG	562	4281	0.12
Ca3_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	217	847	0.20
Ca3_H7VMKALXX_combined_L3_1	EP300-2	CG	697	3583	0.16
Ca3_H7VMKALXX_combined_L3_1	EGFR-1	CG	625	2527	0.20
Ca3_H7VMKALXX_combined_L3_1	EGFR-2	CG	2785	5695	0.33
Ca3_H7VMKALXX_combined_L3_1	ERCC1-1	CG	296	1077	0.22
Ca3_H7VMKALXX_combined_L3_1	NOTCH2	CG	8997	189998	0.05
Ca3_H7VMKALXX_combined_L3_1	NOTCH3	CG	1393	2968	0.32
Ca3_H7VMKALXX_combined_L3_1	PTEN	CG	381	504	0.43
Ca3_H7VMKALXX_combined_L3_1	EP300-1	CG	143	2336	0.06
Ca3_H7VMKALXX_combined_L3_1	ERCC2-2	CG	204	967	0.17
Ca3_H7VMKALXX_combined_L3_1	ERCC2-1	CG	145	379	0.28
Ca3_H7VMKALXX_combined_L3_1	PRDM14-3	CG	566	3625	0.14
Ca3_H7VMKALXX_combined_L3_1	PRDM14-2	CG	974	7015	0.12
Ca3_H7VMKALXX_combined_L3_1	PRDM14-1	CG	2420	2480	0.49
Ca3_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	11	80	0.12
Ca3_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	96	4080	0.02
Ca3_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	233	9700	0.02
Ca3_H7VMKALXX_combined_L3_1	MET-1	CHG	160	4	0.98
Ca3_H7VMKALXX_combined_L3_1	STK11	CHG	9083	2343	0.79
Ca3_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	54	43	0.56
Ca3_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	381	219	0.63
Ca3_H7VMKALXX_combined_L3_1	FGFR3-1	CHG	72	77	0.48
Ca3_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	38	39	0.49
