#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T9_H7VMKALXX_combined_L3_1	150	1561782	227338651	96.90	94.67	87.55




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T9_H7VMKALXX_combined_L3_1	780891	692147	88.6% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T9_H7VMKALXX_combined_L3_1	4063111	141353	0.05	14480	0.17	529794	0.56


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T9_H7VMKALXX_combined_L3_1	ABCA3-1	CG	21	326	0.06
T9_H7VMKALXX_combined_L3_1	ABCA3-2	CG	390	6415	0.06
T9_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1281	11304	0.10
T9_H7VMKALXX_combined_L3_1	MET-1	CG	1345	7932	0.14
T9_H7VMKALXX_combined_L3_1	MET-2	CG	456	5570	0.08
T9_H7VMKALXX_combined_L3_1	STK11	CG	28789	313825	0.08
T9_H7VMKALXX_combined_L3_1	ERCC1-2	CG	514	1426	0.26
T9_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	4334	2940	0.60
T9_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	1100	8631	0.11
T9_H7VMKALXX_combined_L3_1	FGFR3-2	CG	302	8043	0.04
T9_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	715	3463	0.17
T9_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	1390	3508	0.28
T9_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1323	1571	0.46
T9_H7VMKALXX_combined_L3_1	KEAP1-2	CG	4317	1796	0.71
T9_H7VMKALXX_combined_L3_1	ARID2-1	CG	5285	197943	0.03
T9_H7VMKALXX_combined_L3_1	RB1	CG	23806	789401	0.03
T9_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	490	2243	0.18
T9_H7VMKALXX_combined_L3_1	CBL-2	CG	2923	6230	0.32
T9_H7VMKALXX_combined_L3_1	RAB31-2	CG	68	822	0.08
T9_H7VMKALXX_combined_L3_1	RAB31-1	CG	962	3041	0.24
T9_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	239	438	0.35
T9_H7VMKALXX_combined_L3_1	FBXW7	CG	130	674	0.16
T9_H7VMKALXX_combined_L3_1	ARID1A-1	CG	22121	280586	0.07
T9_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	130	2283	0.05
T9_H7VMKALXX_combined_L3_1	CBL-1	CG	35265	363005	0.09
