#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T1_H7VMKALXX_combined_L3_1	150	1163040	168632298	96.46	94.52	87.34




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T1_H7VMKALXX_combined_L3_1	581520	495568	85.2% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T1_H7VMKALXX_combined_L3_1	3532982	122514	0.05	19152	0.26	674330	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T1_H7VMKALXX_combined_L3_1	ABCA3-1	CG	412	880	0.32
T1_H7VMKALXX_combined_L3_1	ABCA3-2	CG	184	3424	0.05
T1_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1505	13262	0.10
T1_H7VMKALXX_combined_L3_1	MET-1	CG	1589	8484	0.16
T1_H7VMKALXX_combined_L3_1	MET-2	CG	690	6555	0.10
T1_H7VMKALXX_combined_L3_1	CBL-2	CG	2677	5784	0.32
T1_H7VMKALXX_combined_L3_1	STK11	CG	31318	161565	0.16
T1_H7VMKALXX_combined_L3_1	ARID2-2	CG	24	40	0.37
T1_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	1062	8209	0.11
T1_H7VMKALXX_combined_L3_1	FGFR3-1	CG	347	56	0.86
T1_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	3671	2135	0.63
T1_H7VMKALXX_combined_L3_1	FGFR3-2	CG	549	4482	0.11
T1_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	294	4618	0.06
T1_H7VMKALXX_combined_L3_1	KEAP1-1	CG	2447	2417	0.50
T1_H7VMKALXX_combined_L3_1	KEAP1-2	CG	4009	1976	0.67
T1_H7VMKALXX_combined_L3_1	ARID2-1	CG	4493	153544	0.03
T1_H7VMKALXX_combined_L3_1	RB1	CG	23156	679291	0.03
T1_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	707	2211	0.24
T1_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	1260	3332	0.27
T1_H7VMKALXX_combined_L3_1	RAB31-2	CG	22	275	0.07
T1_H7VMKALXX_combined_L3_1	RAB31-1	CG	692	2271	0.23
T1_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	210	238	0.47
T1_H7VMKALXX_combined_L3_1	FBXW7	CG	283	1177	0.19
T1_H7VMKALXX_combined_L3_1	ARID1A-1	CG	27084	223344	0.11
T1_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	519	2752	0.16
T1_H7VMKALXX_combined_L3_1	CBL-1	CG	33041	290617	0.10
T1_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	141	1043	0.12
T1_H7VMKALXX_combined_L3_1	DAB2IP	CG	893	4686	0.16
T1_H7VMKALXX_combined_L3_1	ERBB2-1	CG	1183	6066	0.16
T1_H7VMKALXX_combined_L3_1	ERCC1-2	CG	1035	1439	0.42
T1_H7VMKALXX_combined_L3_1	ERBB2-2	CG	2265	4903	0.32
T1_H7VMKALXX_combined_L3_1	EP300-2	CG	922	3267	0.22
T1_H7VMKALXX_combined_L3_1	EGFR-1	CG	227	2643	0.08
T1_H7VMKALXX_combined_L3_1	EGFR-2	CG	3876	8091	0.32
T1_H7VMKALXX_combined_L3_1	ERCC1-1	CG	35	39	0.47
T1_H7VMKALXX_combined_L3_1	NOTCH2	CG	8084	110851	0.07
T1_H7VMKALXX_combined_L3_1	NOTCH3	CG	877	1044	0.46
T1_H7VMKALXX_combined_L3_1	PTEN	CG	656	1153	0.36
T1_H7VMKALXX_combined_L3_1	EP300-1	CG	180	1976	0.08
T1_H7VMKALXX_combined_L3_1	ERCC2-2	CG	225	496	0.31
T1_H7VMKALXX_combined_L3_1	ERCC2-1	CG	446	866	0.34
T1_H7VMKALXX_combined_L3_1	PRDM14-3	CG	991	8719	0.10
T1_H7VMKALXX_combined_L3_1	PRDM14-2	CG	612	7702	0.07
T1_H7VMKALXX_combined_L3_1	PRDM14-1	CG	929	3775	0.20
T1_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	474	815	0.37
T1_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	61	2878	0.02
T1_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	427	11562	0.04
T1_H7VMKALXX_combined_L3_1	MET-1	CHG	516	103	0.83
T1_H7VMKALXX_combined_L3_1	MET-2	CHG	25	7	0.78
T1_H7VMKALXX_combined_L3_1	CBL-2	CHG	1221	1123	0.52
T1_H7VMKALXX_combined_L3_1	STK11	CHG	18803	8904	0.68
T1_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	286	340	0.46
T1_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	118	91	0.56
T1_H7VMKALXX_combined_L3_1	FGFR3-1	CHG	79	114	0.41
T1_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	555	231	0.71
T1_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	259	204	0.56
T1_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	46	29	0.61
T1_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	675	239	0.74
T1_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	2226	566	0.80
T1_H7VMKALXX_combined_L3_1	ARID2-1	CHG	573	326	0.64
T1_H7VMKALXX_combined_L3_1	RB1	CHG	328	345	0.49
T1_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	185	127	0.59
T1_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	530	557	0.49
T1_H7VMKALXX_combined_L3_1	RAB31-2	CHG	15	425	0.03
T1_H7VMKALXX_combined_L3_1	RAB31-1	CHG	136	2860	0.05
T1_H7VMKALXX_combined_L3_1	FBXW7	CHG	99	70	0.59
T1_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	9042	5546	0.62
T1_H7VMKALXX_combined_L3_1	MAP2K1-2	CHG	225	136	0.62
T1_H7VMKALXX_combined_L3_1	CBL-1	CHG	8931	5439	0.62
T1_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	32	17	0.65
T1_H7VMKALXX_combined_L3_1	DAB2IP	CHG	131	5329	0.02
T1_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	575	322	0.64
T1_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	299	181	0.62
T1_H7VMKALXX_combined_L3_1	EP300-2	CHG	380	314	0.55
T1_H7VMKALXX_combined_L3_1	EGFR-2	CHG	2437	1502	0.62
T1_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	19	31	0.38
T1_H7VMKALXX_combined_L3_1	NOTCH2	CHG	2590	1731	0.60
T1_H7VMKALXX_combined_L3_1	NOTCH3	CHG	267	73	0.79
T1_H7VMKALXX_combined_L3_1	PTEN	CHG	367	240	0.60
T1_H7VMKALXX_combined_L3_1	EP300-1	CHG	70	121	0.37
T1_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	65	21	0.76
T1_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	135	84	0.62
T1_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	790	9180	0.08
T1_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	165	6803	0.02
T1_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	76	3477	0.02
T1_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	1832	2709	0.40
T1_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	100	3328	0.03
T1_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	977	16057	0.06
T1_H7VMKALXX_combined_L3_1	MET-1	CHH	2763	707	0.80
T1_H7VMKALXX_combined_L3_1	MET-2	CHH	822	328	0.71
T1_H7VMKALXX_combined_L3_1	CBL-2	CHH	12057	10258	0.54
T1_H7VMKALXX_combined_L3_1	STK11	CHH	142636	76418	0.65
T1_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	5322	2203	0.71
T1_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	813	646	0.56
T1_H7VMKALXX_combined_L3_1	FGFR3-1	CHH	747	264	0.74
T1_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	23141	9141	0.72
T1_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	1272	646	0.66
T1_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	383	172	0.69
T1_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	5361	2149	0.71
T1_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	16221	5023	0.76
T1_H7VMKALXX_combined_L3_1	ARID2-1	CHH	3717	2173	0.63
T1_H7VMKALXX_combined_L3_1	RB1	CHH	2255	889	0.72
T1_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	5003	2211	0.69
