#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T16_H7VMKALXX_combined_L3_1	150	1217194	177197414	96.89	94.78	87.76




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T16_H7VMKALXX_combined_L3_1	608597	537728	88.4% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T16_H7VMKALXX_combined_L3_1	3298107	133990	0.05	13134	0.22	452237	0.58


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T16_H7VMKALXX_combined_L3_1	ABCA3-1	CG	4	44	0.08
T16_H7VMKALXX_combined_L3_1	ABCA3-2	CG	416	5707	0.07
T16_H7VMKALXX_combined_L3_1	ABCA3-3	CG	967	8610	0.10
T16_H7VMKALXX_combined_L3_1	MET-1	CG	905	7249	0.11
T16_H7VMKALXX_combined_L3_1	MET-2	CG	318	4370	0.07
T16_H7VMKALXX_combined_L3_1	STK11	CG	23822	230354	0.09
T16_H7VMKALXX_combined_L3_1	ERCC1-2	CG	382	1263	0.23
T16_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	3366	2304	0.59
T16_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	882	6393	0.12
T16_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	545	2722	0.17
T16_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	184	1158	0.14
T16_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1046	917	0.53
T16_H7VMKALXX_combined_L3_1	KEAP1-2	CG	3221	1323	0.71
T16_H7VMKALXX_combined_L3_1	ARID2-1	CG	5482	148151	0.04
T16_H7VMKALXX_combined_L3_1	RB1	CG	28189	661471	0.04
T16_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	316	1548	0.17
T16_H7VMKALXX_combined_L3_1	FGFR3-2	CG	579	6893	0.08
T16_H7VMKALXX_combined_L3_1	CBL-2	CG	2804	5865	0.32
T16_H7VMKALXX_combined_L3_1	RAB31-2	CG	58	604	0.09
T16_H7VMKALXX_combined_L3_1	RAB31-1	CG	569	2322	0.20
T16_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	148	245	0.38
T16_H7VMKALXX_combined_L3_1	FBXW7	CG	82	416	0.16
T16_H7VMKALXX_combined_L3_1	ARID1A-1	CG	22521	242421	0.09
T16_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	193	2123	0.08
T16_H7VMKALXX_combined_L3_1	CBL-1	CG	32334	319671	0.09
T16_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	1347	2638	0.34
T16_H7VMKALXX_combined_L3_1	DAB2IP	CG	1485	8356	0.15
T16_H7VMKALXX_combined_L3_1	ERBB2-1	CG	860	7184	0.11
T16_H7VMKALXX_combined_L3_1	EP300-1	CG	245	2016	0.11
T16_H7VMKALXX_combined_L3_1	ARID2-2	CG	68	216	0.24
T16_H7VMKALXX_combined_L3_1	EP300-2	CG	793	3670	0.18
T16_H7VMKALXX_combined_L3_1	EGFR-1	CG	169	2892	0.06
T16_H7VMKALXX_combined_L3_1	EGFR-2	CG	2364	6840	0.26
T16_H7VMKALXX_combined_L3_1	ERCC1-1	CG	543	1169	0.32
T16_H7VMKALXX_combined_L3_1	NOTCH2	CG	10316	145208	0.07
T16_H7VMKALXX_combined_L3_1	NOTCH3	CG	1443	2363	0.38
T16_H7VMKALXX_combined_L3_1	PTEN	CG	282	697	0.29
T16_H7VMKALXX_combined_L3_1	ERBB2-2	CG	1073	3785	0.22
T16_H7VMKALXX_combined_L3_1	ERCC2-2	CG	177	575	0.24
T16_H7VMKALXX_combined_L3_1	ERCC2-1	CG	194	683	0.22
T16_H7VMKALXX_combined_L3_1	PRDM14-3	CG	460	2682	0.15
T16_H7VMKALXX_combined_L3_1	PRDM14-2	CG	344	4020	0.08
T16_H7VMKALXX_combined_L3_1	PRDM14-1	CG	884	4009	0.18
T16_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	16	51	0.24
T16_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	129	4952	0.03
T16_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	266	7382	0.03
T16_H7VMKALXX_combined_L3_1	MET-1	CHG	127	24	0.84
T16_H7VMKALXX_combined_L3_1	STK11	CHG	10872	4878	0.69
T16_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	127	82	0.61
T16_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	459	241	0.66
T16_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	90	95	0.49
T16_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	227	72	0.76
T16_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	25	21	0.54
T16_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	290	123	0.70
T16_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	1740	414	0.81
T16_H7VMKALXX_combined_L3_1	ARID2-1	CHG	230	83	0.73
T16_H7VMKALXX_combined_L3_1	RB1	CHG	190	182	0.51
T16_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	104	93	0.53
T16_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	150	102	0.60
T16_H7VMKALXX_combined_L3_1	CBL-2	CHG	1306	593	0.69
T16_H7VMKALXX_combined_L3_1	RAB31-2	CHG	34	871	0.04
T16_H7VMKALXX_combined_L3_1	RAB31-1	CHG	90	2847	0.03
