#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T8_H7VMKALXX_combined_L3_1	150	1179050	171608977	96.87	94.77	87.70




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T8_H7VMKALXX_combined_L3_1	589525	524430	89.0% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T8_H7VMKALXX_combined_L3_1	3149017	118313	0.05	11893	0.19	427285	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T8_H7VMKALXX_combined_L3_1	ABCA3-1	CG	223	467	0.32
T8_H7VMKALXX_combined_L3_1	ABCA3-2	CG	350	5987	0.06
T8_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1038	9831	0.10
T8_H7VMKALXX_combined_L3_1	MET-1	CG	863	6582	0.12
T8_H7VMKALXX_combined_L3_1	MET-2	CG	429	5342	0.07
T8_H7VMKALXX_combined_L3_1	STK11	CG	24609	267700	0.08
T8_H7VMKALXX_combined_L3_1	NOTCH2	CG	10634	142683	0.07
T8_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	4024	2534	0.61
T8_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	671	5384	0.11
T8_H7VMKALXX_combined_L3_1	FGFR3-2	CG	262	7034	0.04
T8_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	143	1275	0.10
T8_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1274	1034	0.55
T8_H7VMKALXX_combined_L3_1	KEAP1-2	CG	2728	990	0.73
T8_H7VMKALXX_combined_L3_1	ARID2-1	CG	5179	142431	0.04
T8_H7VMKALXX_combined_L3_1	RB1	CG	21050	612745	0.03
T8_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	787	2848	0.22
T8_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	356	1734	0.17
T8_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	947	2828	0.25
T8_H7VMKALXX_combined_L3_1	RAB31-2	CG	56	522	0.10
T8_H7VMKALXX_combined_L3_1	RAB31-1	CG	787	2367	0.25
T8_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	196	229	0.46
T8_H7VMKALXX_combined_L3_1	FBXW7	CG	182	713	0.20
T8_H7VMKALXX_combined_L3_1	ARID1A-1	CG	17673	197085	0.08
T8_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	98	1977	0.05
T8_H7VMKALXX_combined_L3_1	CBL-2	CG	1709	4615	0.27
T8_H7VMKALXX_combined_L3_1	CBL-1	CG	29009	297153	0.09
T8_H7VMKALXX_combined_L3_1	DAB2IP	CG	1771	6749	0.21
T8_H7VMKALXX_combined_L3_1	ERBB2-1	CG	1109	8364	0.12
T8_H7VMKALXX_combined_L3_1	ERBB2-2	CG	992	3359	0.23
T8_H7VMKALXX_combined_L3_1	ARID2-2	CG	59	178	0.25
T8_H7VMKALXX_combined_L3_1	EP300-2	CG	545	4151	0.12
